date,open,high,low,close,volume
2011-05-25,1.40985,1.41181,1.40129,1.40870,107501
2011-05-26,1.40869,1.42061,1.40679,1.41432,106951
2011-05-27,1.41430,1.43198,1.41253,1.43163,106779
2011-05-30,1.43194,1.43212,1.42567,1.42806,54253
2011-05-31,1.42791,1.44236,1.42780,1.43954,93951
2011-06-01,1.43952,1.44584,1.43208,1.43272,103521
2011-06-02,1.43274,1.45119,1.43077,1.44888,96950
2011-06-03,1.44890,1.46423,1.44548,1.46348,93579
2011-06-06,1.46068,1.46576,1.45573,1.45749,95401
2011-06-07,1.45747,1.46956,1.45633,1.46908,93955
2011-06-08,1.46900,1.46939,1.45639,1.45816,99122
2011-06-09,1.45807,1.46457,1.44782,1.45087,97242
2011-06-10,1.45081,1.45500,1.43222,1.43468,101918
2011-06-13,1.43246,1.44299,1.43201,1.44120,95280
2011-06-14,1.44114,1.44971,1.43780,1.44397,96418
2011-06-15,1.44395,1.44509,1.41560,1.41776,109717
2011-06-16,1.41775,1.42185,1.40731,1.42077,123448
2011-06-17,1.42069,1.43389,1.41269,1.43063,110717
2011-06-20,1.42731,1.43270,1.41912,1.43028,95184
2011-06-21,1.43041,1.44223,1.43023,1.44090,96700
2011-06-22,1.44090,1.44412,1.43421,1.43542,100048
2011-06-23,1.43539,1.43562,1.41268,1.42549,108986
2011-06-24,1.42554,1.43057,1.41431,1.41888,105242
2011-06-27,1.41880,1.42923,1.41025,1.42856,101496
2011-06-28,1.42854,1.43966,1.42370,1.43702,106048
2011-06-29,1.43694,1.44477,1.43384,1.44339,103463
2011-06-30,1.44339,1.45375,1.44263,1.45014,96505
2011-07-01,1.45014,1.45503,1.44383,1.45254,93072
2011-07-04,1.45290,1.45774,1.44953,1.45388,64382
2011-07-05,1.45381,1.45529,1.43981,1.44279,87885
2011-07-06,1.44279,1.44663,1.42859,1.43170,93891
2011-07-07,1.43169,1.43739,1.42229,1.43619,92273
2011-07-08,1.43619,1.43682,1.42142,1.42634,94529
2011-07-11,1.42030,1.42273,1.39863,1.40298,114678
2011-07-12,1.40296,1.40613,1.38371,1.39749,147021
2011-07-13,1.39749,1.41920,1.39509,1.41600,122562
2011-07-14,1.41585,1.42802,1.41151,1.41416,124080
2011-07-15,1.41415,1.41981,1.40923,1.41542,100063
2011-07-18,1.41030,1.41332,1.40140,1.41118,101742
2011-07-19,1.41118,1.42172,1.40685,1.41518,111394
2011-07-20,1.41521,1.42391,1.41330,1.42151,99775
2011-07-21,1.42151,1.44328,1.41390,1.44234,121746
2011-07-22,1.44235,1.44373,1.43235,1.43564,99318
2011-07-25,1.43844,1.44160,1.43249,1.43772,97444
2011-07-26,1.43772,1.45251,1.43571,1.45094,102613
2011-07-27,1.45105,1.45353,1.43395,1.43682,103726
2011-07-28,1.43678,1.44001,1.42544,1.43307,104598
2011-07-29,1.43307,1.44123,1.42301,1.43962,112432
2011-08-01,1.43793,1.44526,1.41856,1.42494,110650
2011-08-02,1.42494,1.42826,1.41512,1.42017,123405
2011-08-03,1.42033,1.43440,1.41453,1.43217,132566
2011-08-04,1.43217,1.43676,1.40892,1.40893,145587
2011-08-05,1.40886,1.42975,1.40555,1.42763,154260
2011-08-08,1.44152,1.44260,1.41302,1.41763,159881
2011-08-09,1.41763,1.43757,1.41520,1.43747,164939
2011-08-10,1.43739,1.44008,1.41620,1.41764,143200
2011-08-11,1.41762,1.42871,1.41040,1.42394,152682
2011-08-12,1.42394,1.42895,1.41494,1.42485,116133
2011-08-15,1.42623,1.44727,1.42525,1.44439,111561
2011-08-16,1.44427,1.44664,1.43540,1.44064,113734
2011-08-17,1.44064,1.45159,1.43280,1.44249,108018
2011-08-18,1.44249,1.44509,1.42712,1.43320,114208
2011-08-19,1.43318,1.44515,1.42588,1.43961,115197
2011-08-22,1.43765,1.44341,1.43471,1.43582,92294
2011-08-23,1.43587,1.44995,1.43533,1.44407,97705
2011-08-24,1.44407,1.44811,1.43852,1.44135,97280
2011-08-25,1.44134,1.44743,1.43277,1.43779,96161
2011-08-26,1.43776,1.45012,1.43303,1.44985,99208
2011-08-29,1.44935,1.45483,1.44660,1.45100,78580
2011-08-30,1.45105,1.45328,1.43850,1.44408,90427
2011-08-31,1.44409,1.44674,1.43591,1.43712,82011
2011-09-01,1.43712,1.43839,1.42260,1.42590,91716
2011-09-02,1.42589,1.42873,1.41838,1.42046,91838
2011-09-05,1.41581,1.41730,1.40623,1.40970,79949
