date,open,high,low,close,volume
2018-11-22,1.13889,1.14341,1.13863,1.13884,0
2018-11-23,1.14026,1.14194,1.13323,1.14032,0
2018-11-26,1.13389,1.13836,1.13273,1.13374,0
2018-11-27,1.13343,1.13449,1.12794,1.13334,0
2018-11-28,1.12971,1.1308,1.12677,1.12988,0
2018-11-29,1.13666,1.14015,1.13496,1.13685,0
2018-11-30,1.13928,1.14012,1.13148,1.13928,0
2018-12-03,1.13419,1.13801,1.13217,1.13422,0
2018-12-04,1.13559,1.14177,1.13433,1.13549,0
2018-12-05,1.13437,1.13603,1.1315,1.13429,0
2018-12-06,1.13473,1.14123,1.13234,1.13491,0
2018-12-07,1.13768,1.14107,1.13613,1.13748,0
2018-12-10,1.14038,1.14456,1.13623,1.14009,0
2018-12-11,1.1355,1.13994,1.13076,1.13565,0
2018-12-12,1.13228,1.13804,1.13162,1.13231,0
2018-12-13,1.13727,1.13925,1.13336,1.13735,0
2018-12-14,1.13632,1.13662,1.12708,1.13636,0
2018-12-17,1.13067,1.1354,1.13048,1.13059,0
2018-12-18,1.135,1.1403,1.13386,1.13498,0
2018-12-19,1.13757,1.14397,1.13754,1.13754,0
2018-12-20,1.13878,1.14849,1.13784,1.13895,0
2018-12-21,1.14578,1.14745,1.13878,1.14569,0
2018-12-24,1.1372,1.14384,1.1372,1.13728,0
2018-12-25,1.14051,1.1422,1.13701,1.14039,0
2018-12-26,1.14134,1.14194,1.13762,1.14155,0
2018-12-27,1.13636,1.14343,1.13591,1.13613,0
2018-12-28,1.14309,1.14732,1.14309,1.14311,0
2018-12-31,1.14389,1.14659,1.14223,1.14399,0
2019-01-01,1.14943,1.155,1.1465,1.14931,0
2019-01-02,1.14613,1.1497,1.13457,1.14617,0
2019-01-03,1.13173,1.14091,1.13173,1.13181,0
2019-01-04,1.13909,1.14177,1.13482,1.13911,0
2019-01-07,1.14129,1.14745,1.14052,1.14104,0
2019-01-08,1.14793,1.14863,1.14247,1.14797,0
2019-01-09,1.14572,1.15401,1.14416,1.14561,0
2019-01-10,1.15552,1.15714,1.15115,1.15549,0
2019-01-11,1.15152,1.1539,1.14597,1.15101,0
2019-01-14,1.14628,1.14837,1.14516,1.14601,0
2019-01-15,1.14732,1.14916,1.13862,1.14729,0
2019-01-16,1.14141,1.14223,1.13789,1.14168,0
2019-01-17,1.1399,1.14077,1.13724,1.13981,0
2019-01-18,1.13919,1.14103,1.13542,1.13926,0
2019-01-21,1.13654,1.13882,1.1358,1.13656,0
2019-01-22,1.13696,1.13753,1.13368,1.13693,0
2019-01-23,1.13638,1.13932,1.13516,1.1364,0
2019-01-24,1.13871,1.13934,1.13132,1.13882,0
2019-01-25,1.13099,1.14116,1.13058,1.13135,0
2019-01-28,1.14127,1.14456,1.13909,1.1413,0
2019-01-29,1.14297,1.14506,1.14117,1.143,0
2019-01-30,1.14351,1.14503,1.14086,1.14354,0
2019-01-31,1.14855,1.15137,1.14506,1.14877,0
2019-02-01,1.14508,1.14884,1.14351,1.14495,0
2019-02-04,1.14572,1.14626,1.14254,1.14553,0
2019-02-05,1.14358,1.1443,1.14033,1.14363,0
2019-02-06,1.14088,1.1411,1.13754,1.14099,0
2019-02-07,1.13663,1.13701,1.13261,1.1366,0
2019-02-08,1.13399,1.1351,1.13218,1.13388,0
2019-02-11,1.13243,1.13314,1.12734,1.13243,0
2019-02-12,1.12803,1.13199,1.12589,1.1279,0
2019-02-13,1.13327,1.13443,1.12829,1.13347,0
2019-02-14,1.12641,1.13083,1.12506,1.12649,0
2019-02-15,1.12947,1.12982,1.12349,1.12954,0
2019-02-18,1.12948,1.13341,1.12948,1.1298,0
